address,lat,lon
4401 Jane St,43.7654274,-79.5187635
445 REXDALE BLVD,43.7160484,-79.5939896
445 Rexdale Blvd,43.7160484,-79.5939896
45 The Esplanade,43.646654,-79.3741191
450 PAPE AVE,43.6716334,-79.3421524
4584 KINGSTON RD,43.699674,-79.2556369
4584 Kingston Rd,43.682847,-79.27808
4674 KINGSTON RD,43.7763895,-79.1747134
4674 Kingston Rd,43.7763895,-79.1747134
490 SHERBOURNE ST,43.6676261,-79.3753008
490 Sherbourne St,43.6676261,-79.3753008
50 ESTATE DR,43.7830185,-79.235536
50 Estate Dr,43.7830185,-79.235536
502 SPADINA AVE,43.6586665,-79.4007532
502 Spadina Ave,43.6586665,-79.4007532
512 JARVIS ST,43.6676332,-79.3792531
525 Bloor St E,43.6718012,-79.3737851
545 LAKE SHORE BLVD W,43.636441,-79.3987561
545 Lake Shore Blvd W,43.636441,-79.3987561
55 Broadway Ave,43.7114776,-79.3895027
55 HALLCROWN PL,43.7692665,-79.3224086
55 Hallcrown Pl,43.7692665,-79.3224086
55 JOHN ST,43.6460763,-79.3887574
55 John St,43.6460763,-79.3887574
5515 EGLINTON AVE WEST,43.6553815,-79.5986072
552 Adelaide St W,43.6455608,-79.4024795
556 SHERBOURNE ST,43.6697144,-79.3759409
556 Sherbourne St,43.6697144,-79.3759409
558 BATHURST ST,43.6584451,-79.4087306
56 Yonge St,43.6481903,-79.3776696
58 CECIL ST,43.6564521,-79.3985978
5800 YONGE ST,43.7842498,-79.4168959
5800 Yonge St,43.7842498,-79.4168959
6 WARRENDALE CRT,43.7363042,-79.5808276
6 Warrendale Ct,43.7364663,-79.5802022
60 BRANT ST,43.6472987,-79.3990102
60 Brant St,43.6472987,-79.3990102
60 NEWCASTLE ST,43.6179513,-79.4973594
60 Newcastle St,43.6179513,-79.4973594
60 York St,43.6462564,-79.3831691
616 VAUGHAN RD,43.6919186,-79.4398677
616 Vaughan Rd,43.6919186,-79.4398677
629 ADELAIDE ST W,43.6454349,-79.4020584
640 DIXON RD,43.6921591,-79.5765849
65 Broadway Ave,43.7114776,-79.3895027
65 Dundas St E,43.6560073,-79.3784848
66 NORFINCH DR,43.7572752,-79.5298481
66 Norfinch Dr,43.7572752,-79.5298481
67 ADELAIDE ST E,43.6510367,-79.3751525
67 Adelaide St E,43.6510367,-79.3751525
674 DUNDAS ST W,43.6518512,-79.4036296
674 Dundas St W,43.6518512,-79.4036296
69 FRASER AVE,43.6373395,-79.4240054
69 Fraser Ave,43.6373395,-79.4240054
7 VANAULEY ST,43.6488641,-79.3982301
7 Vanauley St,43.6488641,-79.3982301
70 DENISON AVE,43.6502058,-79.4016667
70 GERRARD ST E,43.6600957,-79.3783524
70 Gerrard St E,43.6600957,-79.3783524
702 KENNEDY RD,43.7278398,-79.2662915
702 Kennedy Rd,43.7278398,-79.2662915
705 PROGRESS AVE,43.7783143,-79.2464647
705 Progress Ave,43.7783143,-79.2464647
723 Queen St W,43.6464945,-79.4063005
731 RUNNYMEDE RD,43.6683775,-79.4830903
731 Runnymede Rd,43.6683775,-79.4830903
747 WARDEN AVE,43.7175246,-79.2831322
747 Warden Ave,43.7175246,-79.2831322
76 CHURCH ST,43.6508035,-79.3749075
76 Church St,43.6508035,-79.3749075
77 RYERSON AVE,43.6500853,-79.4025175
77 Ryerson Ave,43.6500853,-79.4025175
80 WOODLAWN AVE E,43.684742,-79.3896662
80 Woodlawn Ave E,43.684742,-79.3896662
805A Wellington St W,43.644658,-79.3920943
808 Mt Pleasant Rd,43.7088586,-79.3908441
81 ELIZABETH ST,43.6541993,-79.3845204
81 Elizabeth Street,43.6541993,-79.3845204
850 BLOOR ST W,43.6624426,-79.4241437
850 Bloor St W,43.6624426,-79.4241437
86 Lombard St,43.6520802,-79.3743488
87 PEMBROKE ST,43.659289,-79.3727253
87 Pembroke St,43.659289,-79.3727253
870 QUEEN ST E,43.660407,-79.345308
870 Queen St E,43.660407,-79.345308
885 SCARBOROUGH GOLF CLUB RD,43.7731243,-79.2198179
885 Scarborough Golf Club Road,43.7731243,-79.2198179
92 Peter St,43.6469697,-79.3932081
95 WELLESLEY ST E,43.6658231,-79.3792045
95 Wellesley St E,43.6658231,-79.3792045
953 Gerrard St E,43.6678944,-79.3397856
962 BLOOR ST W,43.6614308,-79.4288255
962 Bloor St W,43.6614308,-79.4288255
973 LANSDOWNE AVE,43.6660985,-79.446011
973 Lansdowne Ave,43.6660985,-79.446011
98 The Esplanade,43.6478392,-79.3724778
981 DUNDAS ST W,43.6502416,-79.4152827
